Specieslabcode,nITS,nLSU,mrSSU,b-tubulin
Acarospora anomala SAR136,LN810758,,LN810883,LN810650
Acarospora anomala SAR138,LN810759,,LN810884,LN810651
Acarospora atrata SAR69,LN810761,,LN810886,LN810653
Acarospora atrata WE16,LN810760,,LN810885,LN810652
Acarospora badiofusca WE05,LN810762,,LN810887,LN810654
Acarospora badiofusca WE11,LN810763,,LN810888,LN810655
Acarospora cervina SAR144,LN810764,,LN810889,LN810656
Acarospora cervina SAR200,LN810765,,LN810890,LN810657
Acarospora fuscata SAR120,LN810766,,LN810891,LN810658
Acarospora fuscata SAR129,LN810767,,LN810892,LN810659
Acarospora glaucocarpa s. lat. SAR53,LN810770,,LN810895,LN810662
Acarospora glaucocarpa s. lat. SAR56,LN810771,,LN810896,LN810663
Acarospora glaucocarpa SAR08,LN810768,,LN810893,LN810660
Acarospora glaucocarpa v. melaniza SAR01,LN810772,,LN810897,LN810664
Acarospora glaucocarpa v. melaniza SAR10,LN810773,,LN810898,LN810665
Acarospora glaucocarpa WE23,LN810769,,LN810894,LN810661
Acarospora heufleriana SAR166,LN810774,,LN810899,LN810666
Acarospora hospitans SAR189,LN810775,,LN810900,LN810667
Acarospora impressula SAR33,LN810776,,LN810901,LN810668
Acarospora insolata WE06,LN810777,,LN810902,LN810669
Acarospora laqueata SAR143,LN810778,,LN810903,LN810670
Acarospora macrospora SAR156,LN810779,,LN810904,LN810671
Acarospora macrospora SAR159,LN810780,,LN810905,LN810672
Acarospora moenium SAR223,LN810782,,LN810907,LN810674
Acarospora moenium SAR93,LN810781,,LN810906,LN810673
Acarospora molybdina SAR121,LN810783,,LN810908,LN810675
Acarospora murorum ALM10,LN810784,,LN810909,LN810676
Acarospora nicolai SAR228,LN810785,,LN810910,LN810677
Acarospora cf nitrophila SAR113,LN810787,,LN810912,LN810679
Acarospora cf nitrophila SAR248,LN810786,,LN810911,LN810678
Acarospora nodulosa ALM11,LN810788,,LN810913,LN810680
Acarospora nodulosa SAR146,LN810789,,LN810914,LN810681
Acarospora obpallens SAR163,LN810790,,LN810915,LN810682
Acarospora oligospora SAR38,LN810791,,LN810916,LN810683
Acarospora oligospora SAR89,LN810792,,LN810917,LN810684
Acarospora peliscypha SAR109,LN810793,,LN810918,LN810685
Acarospora peliscypha SAR174,LN810794,,LN810919,LN810686
Acarospora placodiiformis SAR145,LN810795,,LN810920,LN810687
Acarospora rhizobola WE15,EU870640,LN810868,EU870692,EU870745
Acarospora rhizobola WE17,EU870641,LN810869,EU870693,EU870746
Acarospora rosulata SAR31,LN810796,,LN810921,LN810688
Acarospora rosulata SAR34,LN810797,,LN810922,LN810689
Acarospora rugulosa SAR172,LN810798,,LN810923,LN810690
Acarospora rugulosa SAR173,LN810799,,LN810924,LN810691
Acarospora schleicheri CO135,LN810800,,LN810925,LN810692
Acarospora schleicheri SAR222,LN810801,,LN810926,LN810693
Acarospora sinopica A50,DQ374138,LN810870,DQ374116,EU870751
Acarospora sinopica MW20,DQ374148,,DQ374120,EU870753
Acarospora socialis SAR165,LN810802,,LN810927,LN810694
Acarospora sp.1 SAR20,LN810803,,LN810928,LN810695
Acarospora strigata SAR164,LN810804,,LN810929,LN810696
Acarospora strigata SAR169,LN810805,,LN810930,LN810697
Acarospora terricola SAR94,LN810806,,LN810931,LN810698
Acarospora terricola SAR95,LN810807,,LN810932,LN810699
Acarospora umbilicata CO238,LN810808,,LN810933,LN810700
